start_point_id,end_point_id,distance
VD5,NM11,1.2527880650072345
VD5,TP1,2.1770908719988906
VD5,TP4,1.6065625853974626
VD5,TP13,2.194262960796146
VD5,NP11,8.17936542759534
NM11,VD5,1.2527880650072345
NM11,NM11,0.0
NM11,TP1,1.5382396624761956
NM11,TP4,1.5382396624761956
NM11,TP13,3.1900312157058046
NM11,NP11,8.972366808877187
TP1,VD5,2.1770908719988906
TP1,NM11,1.5382396624761956
TP1,TP1,0.0
TP1,TP4,3.0764793249523916
TP1,TP13,4.367618230657078
TP1,NP11,10.336177680544118
TP4,VD5,1.6065625853974626
TP4,NM11,1.5382396624761956
TP4,TP1,3.0764793249523916
TP4,TP4,0.0
TP4,TP13,2.407223473782033
TP4,NP11,7.706070639057017
TP13,VD5,2.194262960796146
TP13,NM11,3.1900312157058046
TP13,TP1,4.367618230657078
TP13,TP4,2.407223473782033
TP13,TP13,0.0
TP13,NP11,5.993040836051454
NP11,VD5,8.17936542759534
NP11,NM11,8.972366808877187
NP11,TP1,10.336177680544118
NP11,TP4,7.706070639057017
NP11,TP13,5.993040836051454
NP11,NP11,0.0
