start_point_id,end_point_id,distance
VD2,WH2,1.7082858846306097
VD2,NM4,1.3597449587088033
VD2,TP9,3.159136280690666
VD2,TP10,2.8713785771029254
VD2,NP4,1.2092200062615057
VD2,RC2,2.6199766802332687
WH2,VD2,1.7082858846306097
WH2,WH2,0.0
WH2,NM4,1.4286432630869796
WH2,TP9,3.894868944904779
WH2,TP10,3.4073080911916325
WH2,NP4,1.2285944143940652
WH2,RC2,1.7342696516431393
NM4,VD2,1.3597449587088033
NM4,WH2,1.4286432630869796
NM4,NM4,0.0
NM4,TP9,2.4789086135847156
NM4,TP10,2.0218224599536065
NM4,NP4,0.2374652127367492
NM4,RC2,1.2825784340143347
TP9,VD2,3.159136280690666
TP9,WH2,3.894868944904779
TP9,NM4,2.4789086135847156
TP9,TP9,0.0
TP9,TP10,0.5720849941439927
TP9,NP4,2.7025643468621228
TP9,RC2,2.6533813579073002
TP10,VD2,2.8713785771029254
TP10,WH2,3.4073080911916325
TP10,NM4,2.0218224599536065
TP10,TP9,0.5720849941439927
TP10,TP10,0.0
TP10,NP4,2.2547710429419037
TP10,RC2,2.0886581742031627
NP4,VD2,1.2092200062615057
NP4,WH2,1.2285944143940652
NP4,NM4,0.2374652127367492
NP4,TP9,2.7025643468621228
NP4,TP10,2.2547710429419037
NP4,NP4,0.0
NP4,RC2,1.410756673971763
RC2,VD2,2.6199766802332687
RC2,WH2,1.7342696516431393
RC2,NM4,1.2825784340143347
RC2,TP9,2.6533813579073002
RC2,TP10,2.0886581742031627
RC2,NP4,1.410756673971763
RC2,RC2,0.0
