start_point_id,end_point_id,distance
VD6,WH6,1.5108137487100455
VD6,WH7,1.9221681896809228
VD6,TP3,1.8159065354374775
VD6,TP4,1.943232590439265
VD6,RC4,0.782405515332547
VD6,NM41,4.900816680786845
VD6,NM42,4.524099819613181
VD6,NM43,4.16379590984829
VD6,NM44,3.82482791319198
VD6,NM45,3.5141125734248138
VD6,NM46,3.2416439426663572
VD6,NM47,3.0227536801822743
VD6,NM48,2.889526638180831
VD6,NM49,2.907831827855982
VD6,NM50,3.0146245488515406
VD6,NM51,1.3706904323099565
VD6,NM52,1.3213005832771998
VD6,NM53,1.2753745229443776
VD6,NM54,1.2351526805800417
VD6,NM55,1.2029312871952562
VD6,NM56,1.1756886389902155
VD6,NM57,1.1527578090072
VD6,NM58,1.1338660958406455
VD6,NM59,1.1188625356992496
VD6,NM60,1.1076468013075786
VD6,NP31,5.1278339451858
VD6,NP32,4.561974296784526
VD6,NP33,3.9997659449199965
VD6,NP34,3.442991140535147
VD6,NP35,2.8947964904490955
VD6,NP36,2.3612706554321012
VD6,NP37,1.8557746247676608
VD6,NP38,1.4138639700832232
VD6,NP39,1.1885535235699372
VD6,NP40,1.2448238657299857
WH6,VD6,1.5108137487100455
WH6,WH6,0.0
WH6,WH7,3.2577644746862786
WH6,TP3,3.202635263483345
WH6,TP4,1.7209824887020289
WH6,RC4,2.258533225507492
WH6,NM41,6.066917821968302
WH6,NM42,5.736981523760305
WH6,NM43,5.426526572512358
WH6,NM44,5.139820954697296
WH6,NM45,4.8824222809123565
WH6,NM46,4.66187564921455
WH6,NM47,4.489597923620871
WH6,NM48,4.3970322691290855
WH6,NM49,4.4119126913093405
WH6,NM50,4.488949824712238
WH6,NM51,2.214164932446207
WH6,NM52,2.14148506569398
WH6,NM53,2.068810844462346
WH6,NM54,1.9961428834290735
WH6,NM55,1.9234818898378838
WH6,NM56,1.8508286897738533
WH6,NM57,1.7781842179688592
WH6,NM58,1.7055495951368038
WH6,NM59,1.6329261309907956
WH6,NM60,1.5603153781201098
WH6,NP31,6.210298919375356
WH6,NP32,5.674912755835983
WH6,NP33,5.149020951816845
WH6,NP34,4.636021502749616
WH6,NP35,4.141096138920745
WH6,NP36,3.6725341260191278
WH6,NP37,3.244549915332293
WH6,NP38,2.88566328945251
WH6,NP39,2.687836383536368
WH6,NP40,2.6327336667366152
WH7,VD6,1.9221681896809228
WH7,WH6,3.2577644746862786
WH7,WH7,0.0
WH7,TP3,2.0001955986844164
WH7,TP4,3.8069449506045636
WH7,RC4,1.2059337040197278
WH7,NM41,3.0236935504744147
WH7,NM42,2.62369686398608
WH7,NM43,2.245965128074533
WH7,NM44,1.9042582168554023
WH7,NM45,1.6250088123182904
WH7,NM46,1.4763804601944104
WH7,NM47,1.557911328930321
WH7,NM48,1.7614357975364354
WH7,NM49,2.0394759715011364
WH7,NM50,2.3648676609215364
WH7,NM51,1.4952964463144256
WH7,NM52,1.5345570369580503
WH7,NM53,1.5755749373465326
WH7,NM54,1.618283327794819
WH7,NM55,1.6626244847533962
WH7,NM56,1.7085512518979344
WH7,NM57,1.7560294080182988
WH7,NM58,1.8050416444178026
WH7,NM59,1.8555954380510444
WH7,NM60,1.9077409766046554
WH7,NP31,3.312567764398816
WH7,NP32,2.734520590068632
WH7,NP33,2.156869870529378
WH7,NP34,1.580045693551475
WH7,NP35,1.0054503653539333
WH7,NP36,0.44169609147160227
WH7,NP37,0.2477449938946708
WH7,NP38,0.7590175557271157
WH7,NP39,1.330461096093874
WH7,NP40,1.9064381165695388
TP3,VD6,1.8159065354374775
TP3,WH6,3.202635263483345
TP3,WH7,2.0001955986844164
TP3,TP3,0.0
TP3,TP4,2.4827626929809057
TP3,RC4,1.3890341064171936
TP3,NM41,4.848850348931678
TP3,NM42,4.408119151967975
TP3,NM43,3.9716957392071723
TP3,NM44,3.5410881654739947
TP3,NM45,3.118587200002958
TP3,NM46,2.70783062603867
TP3,NM47,2.314906597575072
TP3,NM48,1.9506510276279871
TP3,NM49,1.6357916543309723
TP3,NM50,1.4149159059282475
TP3,NM51,2.8063394349794346
TP3,NM52,2.8048859112847135
TP3,NM53,2.8048125767353795
TP3,NM54,2.806107071192726
TP3,NM55,2.8087565410382664
TP3,NM56,2.8127476026002847
TP3,NM57,2.81806635093187
TP3,NM58,2.824698315723698
TP3,NM59,2.8326284911023216
TP3,NM60,2.841841342265407
TP3,NP31,5.212998326863543
TP3,NP32,4.637334039306965
TP3,NP33,4.062585398921867
TP3,NP34,3.489223337996604
TP3,NP35,2.918109061916202
TP3,NP36,2.3510071189738744
TP3,NP37,1.7922212844629044
TP3,NP38,1.2567316489321976
TP3,NP39,0.8216212332085843
TP3,NP40,0.5758827968840154
TP4,VD6,1.943232590439265
TP4,WH6,1.7209824887020289
TP4,WH7,3.8069449506045636
TP4,TP3,2.4827626929809057
TP4,TP4,0.0
TP4,RC4,2.6016090159702028
TP4,NM41,6.821899099173639
TP4,NM42,6.430243785154662
TP4,NM43,6.0479070102684105
TP4,NM44,5.676798162667578
TP4,NM45,5.31934894290894
TP4,NM46,4.978690436912704
TP4,NM47,4.65890396763717
TP4,NM48,4.365392583322161
TP4,NM49,4.105485291513887
TP4,NM50,3.889658618059684
TP4,NM51,3.2316578560017093
TP4,NM52,3.1678131384637753
TP4,NM53,3.1043885264499984
TP4,NM54,3.041413891813149
TP4,NM55,2.97892200351472
TP4,NM56,2.916948903694248
TP4,NM57,2.855534324816767
TP4,NM58,2.7947222320175693
TP4,NM59,2.734561418922749
TP4,NM60,2.6751062543517055
TP4,NP31,7.06631720600437
TP4,NP32,6.4973971647755775
TP4,NP33,5.930360555808763
TP4,NP34,5.365799601818032
TP4,NP35,4.804581610415745
TP4,NP36,4.2480278925560455
TP4,NP37,3.6982506814019795
TP4,NP38,3.1588356355299534
TP4,NP39,2.636356538199069
TP4,NP40,2.1441686608382415
RC4,VD6,0.782405515332547
RC4,WH6,2.258533225507492
RC4,WH7,1.2059337040197278
RC4,TP3,1.3890341064171936
RC4,TP4,2.6016090159702028
RC4,RC4,0.0
RC4,NM41,4.2271472159498185
RC4,NM42,3.829625830400465
RC4,NM43,3.4471337220156815
RC4,NM44,3.08536174259076
RC4,NM45,2.7530091838884156
RC4,NM46,2.463882413489195
RC4,NM47,2.24153436679723
RC4,NM48,2.1517149889891054
RC4,NM49,2.227508660907503
RC4,NM50,2.395027717170233
RC4,NM51,1.4173350812317635
RC4,NM52,1.416275323059832
RC4,NM53,1.4179296745939025
RC4,NM54,1.422247152576787
RC4,NM55,1.4291726436207728
RC4,NM56,1.4386468368198444
RC4,NM57,1.45060646826596
RC4,NM58,1.4649846999030585
RC4,NM59,1.481711714000467
RC4,NM60,1.5007153669435565
RC4,NP31,4.497193739203646
RC4,NP32,3.922040180314909
RC4,NP33,3.348123604637413
RC4,NP34,2.7762015885409466
RC4,NP35,2.2078051065724003
RC4,NP36,1.6465513670070075
RC4,NP37,1.1034134612879862
RC4,NP38,0.6321223219107547
RC4,NP39,0.59391021110173
RC4,NP40,0.9229067235161328
NM41,VD6,4.900816680786845
NM41,WH6,6.066917821968302
NM41,WH7,3.0236935504744147
NM41,TP3,4.848850348931678
NM41,TP4,6.821899099173639
NM41,RC4,4.2271472159498185
NM41,NM41,0.0
NM41,NM42,0.4612457896568808
NM41,NM43,0.9224915819904224
NM41,NM44,1.38373737164729
NM41,NM45,1.8449831639808316
NM41,NM46,2.3062289437925427
NM41,NM47,2.767474736126084
NM41,NM48,3.2287205257829514
NM41,NM49,3.6899663181164932
NM41,NM50,4.151212107773375
NM41,NM51,3.8622471868131
NM41,NM52,3.9348331511651655
NM41,NM53,4.007425495936249
NM41,NM54,4.080023877556272
NM41,NM55,4.1526279766793
NM41,NM56,4.225237487321592
NM41,NM57,4.2978521500418525
NM41,NM58,4.370471697644363
NM41,NM59,4.443095888725721
NM41,NM60,4.515724497526596
NM41,NP31,0.620769053848402
NM41,NP32,0.5009529656991978
NM41,NP33,0.9179980560444482
NM41,NP34,1.4578732858959063
NM41,NP35,2.019354544021911
NM41,NP36,2.5884016600608684
NM41,NP37,3.1609521726690466
NM41,NP38,3.735406938632233
NM41,NP39,4.311010686459938
NM41,NP40,4.887360620137974
NM42,VD6,4.524099819613181
NM42,WH6,5.736981523760305
NM42,WH7,2.62369686398608
NM42,TP3,4.408119151967975
NM42,TP4,6.430243785154662
NM42,RC4,3.829625830400465
NM42,NM41,0.4612457896568808
NM42,NM42,0.0
NM42,NM43,0.4612457923335416
NM42,NM44,0.9224915819904093
NM42,NM45,1.383737374323951
NM42,NM46,1.8449831541356618
NM42,NM47,2.3062289464692034
NM42,NM48,2.767474736126071
NM42,NM49,3.2287205284596125
NM42,NM50,3.689966318116494
NM42,NM51,3.5528565452093206
NM42,NM52,3.624655147907067
NM42,NM53,3.696492394849893
NM42,NM54,3.7683660057161075
NM42,NM55,3.840273875999699
NM42,NM56,3.9122140512766874
NM42,NM57,3.9841847489042377
NM42,NM58,4.056184290148421
NM42,NM59,4.128211124931447
