start_point_id,end_point_id,distance
NM13,VD9,4.759607693
VD10,NM10,0.5050876906
VD6,NM6,7.488594504
NM2,VD4,4.547581684
NM12,VD8,8.653413556
NM8,VD12,1.377076686
NM13,VD10,5.147906046
NM11,VD12,14.28269172
VD8,NM9,10.72067275
NM13,VD12,12.5025368
VD5,NM3,4.617700265
VD11,NM13,11.07425148
VD10,NM13,5.147906046
VD2,NM9,1.348497399
VD8,NM5,12.20870857
VD8,NM8,15.00695189
NM9,VD13,17.98805371
VD7,NM4,7.487136696
NM5,VD10,7.697707423
NM3,VD7,5.356761232
NM5,VD13,2.715649061
NM2,VD13,14.43814814
NM8,VD4,16.12928087
NM12,VD4,0.0951393066
VD5,NM10,6.328731168
VD12,NM6,13.68483451
NM10,VD11,7.761582789
NM3,VD11,14.06298675
NM7,VD8,7.542682239
VD4,NM4,2.607104484
NM9,VD2,1.348497399
NM2,VD8,4.093190154
NM7,VD10,5.212155579
NM5,VD9,13.06036966
VD2,NM7,8.531344864
VD11,NM6,12.20948293
VD6,NM9,8.476615555
VD11,NM2,11.76640067
VD7,NM7,4.155998409
NM13,VD6,4.351589197
NM2,VD9,4.463857606
NM12,VD6,6.35091757
VD13,NM2,14.43814814
NM5,VD7,10.84697781
NM9,VD1,0.4995867111
VD12,NM8,1.377076686
NM11,VD3,9.251929951
VD6,NM4,8.466411511
VD7,NM8,13.54355912
NM10,VD3,10.5781808
VD11,NM7,7.601577619
VD1,NM2,6.332123168
VD1,NM5,15.29234867
NM3,VD9,9.307977972
VD10,NM1,9.398587814
NM9,VD10,11.85589646
VD4,NM10,9.971037618
VD1,NM12,1.826762803
NM3,VD6,6.697774765
NM13,VD4,4.630728425
VD10,NM7,5.212155579
VD9,NM3,9.307977972
VD9,NM11,0.2030965739
NM3,VD4,0.4808941707
VD4,NM7,6.175484137
VD2,NM8,17.929067
NM13,VD11,11.07425148
NM1,VD11,1.760477801
NM11,VD1,10.43012284
NM4,VD6,8.466411511
VD5,NM11,4.726032931
NM4,VD7,7.487136696
NM3,VD1,1.395719565
NM2,VD11,11.76640067
VD10,NM4,12.06575612
NM7,VD1,7.766471052
NM3,VD13,16.36899415
VD11,NM3,14.06298675
VD4,NM3,0.4808941707
NM1,VD5,13.59771025
NM1,VD3,15.74290447
NM7,VD11,7.601577619
VD3,NM4,2.040400418
NM9,VD5,6.360759187
VD5,NM4,6.723971388
VD11,NM1,1.760477801
VD11,NM10,7.761582789
VD11,NM5,0.07480216574
NM13,VD1,6.463777342
NM6,VD7,4.136366311
NM3,VD3,0.2764484505
VD10,NM8,10.48696073
VD9,NM4,11.32757766
NM3,VD2,2.748779843
VD1,NM10,11.81880209
VD9,NM9,10.87693119
NM12,VD7,4.919477493
VD1,NM3,1.395719565
NM4,VD5,6.723971388
NM1,VD4,15.21749057
NM2,VD10,5.61210047
NM9,VD11,15.77051766
VD13,NM11,15.56686592
VD12,NM9,16.95698937
NM7,VD6,0.2365200398
NM11,VD4,8.760977274
NM11,VD5,4.726032931
NM8,VD5,14.63155207
NM8,VD1,17.52817638
NM13,VD8,4.275368802
VD11,NM9,15.77051766
VD5,NM7,4.991924294
NM13,VD3,5.212338779
NM7,VD5,4.991924294
NM12,VD1,1.826762803
NM8,VD7,13.54355912
VD1,NM11,10.43012284
NM1,VD6,8.920890094
NM9,VD12,16.95698937
VD7,NM1,12.50004161
NM8,VD10,10.48696073
VD7,NM11,4.53804283
NM7,VD2,8.531344864
VD4,NM11,8.760977274
VD5,NM1,13.59771025
VD12,NM2,13.20000228
NM6,VD4,8.551975242
NM4,VD11,15.68031135
VD9,NM7,8.283027412
NM1,VD12,0.295365936
VD12,NM5,1.433755801
NM7,VD3,6.732867026
NM6,VD9,0.8093496874
NM3,VD5,4.617700265
VD13,NM8,0.1492090169
VD8,NM12,8.653413556
VD2,NM3,2.748779843
NM11,VD11,12.80815483
NM10,VD13,10.49063884
VD10,NM9,11.85589646
NM6,VD12,13.68483451
NM5,VD2,15.85400788
NM4,VD1,0.8416795597
NM8,VD3,16.64249346
VD3,NM13,5.212338779
VD10,NM11,5.196929328
VD1,NM1,16.66186716
