param P=11;
param C=13;
param Max = 3;
param QM = 75;

#Numero de pallets
param d:=
1	11
2	13
3	9
4	12
5	10
6	13
7	19
8	15
9	13
10	10;

param w:
	1	2	3:=
1	9	12	15
2	15	10	15	
3	9	11	8
4	9	9	11
5	10	13	9
6	13	15	8
7	9	12	13
8	8	10	12
9	10	9	12
10	14	13	12
11	11	9	9
12	15	8	14
13	14	9	11;

param Q:
	1	2	3:=
1	45	60	75
2	75	50	75
3	45	55	40
4	45	45	55
5	50	65	45
6	65	75	40
7	45	60	65
8	40	50	60
9	50	45	60
10	70	65	60
11	55	45	45
12	75	40	70
13	70	45	55;

param o:											
	1	2	3	4	5	6	7	8	9	10:=	
1	6.332123168	1.395719565	15.29234867	10.26666978	7.766471052	17.52817638	0.499586711	11.81880209	10.43012284	6.463777342	
2	7.77706171	2.748779843	15.85400788	11.76634995	8.531344864	17.929067	1.348497399	13.03670988	11.95254444	7.839220789	
3	5.095963119	0.276448451	14.32087651	9.065270226	6.732867026	16.64249346	1.728757254	10.5781808	9.251929951	5.212338779	
4	4.547581684	0.480894171	13.77672951	8.551975242	6.175484137	16.12928087	2.334559588	9.971037618	8.760977274	4.630728425	
5	0.4129422	4.617700265	11.95871405	4.452177302	4.991924294	14.63155207	6.360759187	6.328731168	4.726032931	0.876234527	
6	5.056908869	6.697774765	7.418069189	7.488594504	0.23652004	9.885805899	8.476615555	5.520242697	8.040265558	4.351589197	
7	0.949438391	5.356761232	10.84697781	4.136366311	4.155998409	13.54355912	7.188393195	5.250127713	4.53804283	0.29781681	
8	4.093190154	9.069413244	12.20870857	0.071347012	7.542682239	15.00695189	10.72067275	4.562147726	0.652086931	4.275368802	
9	4.463857606	9.307977972	13.06036966	0.809349687	8.283027412	15.85806796	10.87693119	5.383291313	0.203096574	4.759607693	
10	5.61210047	9.972028742	7.697707423	4.610353286	5.212155579	10.48696073	11.85589646	0.505087691	5.196929328	5.147906046	
11	11.76640067	14.06298675	0.074802166	12.20948293	7.601577619	2.849518328	15.77051766	7.761582789	12.80815483	11.07425148	
12	13.20000228	15.29638169	1.433755801	13.68483451	8.891393317	1.377076686	16.95698937	9.214710131	14.28269172	12.5025368	
13	14.43814814	16.36899415	2.715649061	14.96919849	10.02815169	0.149209017	17.98805371	10.49063884	15.56686592	13.73672762;	
											
param c:											
	1	2	3	4	5	6	7	8	9	10	11:=
1	0	5.028282145	11.79621082	4.059858781	5.000197348	14.49227082	6.773599701	5.973054513	4.35233969	0.715896459	17.43159955
2	5.028282145	0	14.06748163	9.02859357	6.487191697	16.37909818	1.889219263	10.42502125	9.232515129	5.108208421	18.50958332
3	11.79621082	14.06748163	0	12.26033622	7.610402163	2.799844224	15.77093316	7.819142431	12.8594194	11.10297286	28.76623057
4	4.059858781	9.02859357	12.26033622	0	7.555063358	15.05890378	10.67455134	4.623326895	0.606254127	4.252912317	16.65940804
5	5.000197348	6.487191697	7.610402163	7.555063358	0	10.05450256	8.257445636	5.711927537	8.099139507	4.301794007	22.41710228
6	14.49227082	16.37909818	2.799844224	15.05890378	10.05450256	0	17.98963929	10.59101867	15.65734305	13.78947024	31.55647824
7	6.773599701	1.889219263	15.77093316	10.67455134	8.257445636	17.98963929	0	12.30559334	10.82134931	6.927520896	18.40148493
8	5.973054513	10.42502125	7.819142431	4.623326895	5.711927537	10.59101867	12.30559334	0	5.191001695	5.542490138	21.28234311
9	4.35233969	9.232515129	12.8594194	0.606254127	8.099139507	15.65734305	10.82134931	5.191001695	0	4.624791383	16.09483953
10	0.715896459	5.108208421	11.10297286	4.252912317	4.301794007	13.78947024	6.927520896	5.542490138	4.624791383	0	18.1426959
11	17.43159955	18.50958332	28.76623057	16.65940804	22.41710228	31.55647824	18.40148493	21.28234311	16.09483953	18.1426959	0
;
